#,catalog,Name,Price
43588,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/R) red","11,1"
43591,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/Y) yellow","11,1"
43587,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/O) orange","11,1"
74016,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5e, 0.5м. (PCU5-10CC-0050-S) Grey   Lanberg","11,6"
64463,КОМПЬЮТЕРНАЯ ТЕХНИКА,RJ-45 коннектор UTP HYPERLINE PLUG-8P8C-U-C5,"11,6"
56388,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель спиральный для телефон. трубки c разъем. 4P4C,2м (TC4P4CS-2M-W)","11,6"
54529,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель спиральный для телефон. трубки c разъемами 4P4C, 2м, black(TC4P4CS-2M)","11,6"
42853,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.7, 100MB (1,0M) (ANPUXXT)","11,6"
6142,КОМПЬЮТЕРНАЯ ТЕХНИКА,Розетка внутр.со шторкой 1п     2013A-F1,"11,6"
17852,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель 3.5mm/2 stereo (Mini jack-RCA Female), 0,2м,  CCA-406","11,6"
6141,КОМПЬЮТЕРНАЯ ТЕХНИКА,Розетка внутр.угл.шторк.2п 2013B-F2AD-IL,"11,6"
6140,КОМПЬЮТЕРНАЯ ТЕХНИКА,Розетка внутр.угл.шторк.1п 2013B-F1AD-IL,"11,6"
78276,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR2032) 3V  Verbatim Premium Lithium  1шт.,"12,1"
56326,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейф SATA III,7pin/7pin (CC-SATAM-DATA-0.1M) 10см","12,1"
16733,КОМПЬЮТЕРНАЯ ТЕХНИКА,Соединитель для удлинения телеф. кабеля (6P4C) GMB TA-301,"12,4"
74017,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5e, 1м. (PCU5-10CC-0100-S) Grey   Lanberg","12,5"
29854,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель ETHERNET FTP CAT5e КППЭт-ВП(100)4*2*0.51д/наруж.прокл.,трос(1м)",13
45861,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель питания SATA порта удлинительный, 30см (CC-SATAMF-01)",13
41171,КОМПЬЮТЕРНАЯ ТЕХНИКА,Кабель телевизионный коаксиальный LC-RG59-001    (1м),13
32032,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,1м. (PP22-1M) grey",13
11250,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Разветвитель CCA-415W (3.5MM STEREO PLUG)-(2X3.5MM STEREO SOCKET),10cm",13
52098,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1.5м. (PP12-1.5M/Y) yellow",14
51363,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1.5м. (PP12-1.5M/G) green",14
51364,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1.5м. (PP12-1.5M/B) blue",14
34133,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1.5м. (PP12-1.5M)",14
11231,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио (3.5mm Stereo Plug/3.5mm Stereo Plug), 1,2м,CCA-404",14
79228,КОМПЬЮТЕРНАЯ ТЕХНИКА,Адаптер (переходник) Стерео-АУДИО (A-458 ) 3.5 mm (male) <-> 2 x RCA (male),"14,5"
60508,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейф (CC-SATAM-DATA90-0.3M) 30см, SATA3, разъёмы - 1 прямой 1 угловой","14,9"
80600,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,1м. (PP22-1M/Y) yellow",15
43794,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,1м. (PP22-1M/B) blue",15
